,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classify__criterion,param_classify__max_depth,param_classify__max_features,param_classify__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.023679637908935548,0.003669210583251309,0.0027979135513305662,0.0005994890554128447,gini,4,auto,2,"{'classify__criterion': 'gini', 'classify__max_depth': 4, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 2}",0.8745980707395499,0.8719185423365488,0.7711682743837085,0.8810289389067524,0.8370846730975349,0.8687031082529475,0.8531618435155413,0.8129689174705252,0.8965702036441586,0.8928188638799571,0.8560021436227224,0.037151871475579266,1791
1,0.01815617084503174,0.001944032232215223,0.0025983333587646486,0.0011993403226591124,gini,4,auto,3,"{'classify__criterion': 'gini', 'classify__max_depth': 4, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 3}",0.8558413719185424,0.8569131832797428,0.7781350482315113,0.8788853161843515,0.8167202572347267,0.8317256162915327,0.8670953912111469,0.7968917470525188,0.8483386923901394,0.8279742765273312,0.8358520900321544,0.030201554092192797,1916
2,0.01888895034790039,0.0018639226736197844,0.0026987791061401367,0.0007809719365390154,gini,4,auto,4,"{'classify__criterion': 'gini', 'classify__max_depth': 4, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 4}",0.872454448017149,0.8467309753483387,0.837620578778135,0.867631296891747,0.890139335476956,0.8810289389067524,0.8236870310825295,0.8708467309753484,0.8558413719185424,0.8633440514469454,0.8609324758842444,0.019227366774823392,1728
3,0.018090581893920897,0.001812604794360362,0.002699613571166992,0.0010046483828858464,gini,4,auto,5,"{'classify__criterion': 'gini', 'classify__max_depth': 4, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 5}",0.8156484458735263,0.8729903536977492,0.8681672025723473,0.852625937834941,0.8022508038585209,0.872454448017149,0.8118971061093248,0.8285101822079314,0.8397642015005359,0.8633440514469454,0.8427652733118972,0.02550055248379312,1888
4,0.019790387153625487,0.0012493064724117468,0.0022973537445068358,0.00045663903836121064,gini,4,auto,6,"{'classify__criterion': 'gini', 'classify__max_depth': 4, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 6}",0.8660235798499464,0.8290460878885316,0.8333333333333334,0.8478027867095391,0.804930332261522,0.857449088960343,0.8445873526259379,0.8665594855305466,0.8670953912111469,0.8311897106109325,0.844801714898178,0.019350870689963558,1873
5,0.01898486614227295,0.0027171439408537655,0.0027031660079956054,0.0007870641073706151,gini,4,auto,7,"{'classify__criterion': 'gini', 'classify__max_depth': 4, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 7}",0.8842443729903537,0.8644158628081458,0.8606645230439443,0.8595927116827439,0.827438370846731,0.8440514469453376,0.830117899249732,0.8515541264737406,0.8922829581993569,0.8590568060021436,0.8573419078242228,0.019644872532235843,1778
6,0.019862437248229982,0.0020301615075634214,0.0021018743515014648,0.0008264644220849085,gini,4,auto,8,"{'classify__criterion': 'gini', 'classify__max_depth': 4, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 8}",0.8708467309753484,0.8681672025723473,0.8429796355841372,0.8719185423365488,0.8756698821007503,0.8515541264737406,0.8735262593783494,0.8612004287245445,0.8006430868167203,0.8729903536977492,0.8589496248660236,0.021905107820258646,1758
7,0.018185186386108398,0.0018886084027696167,0.002701735496520996,0.0010070011578621255,gini,4,auto,9,"{'classify__criterion': 'gini', 'classify__max_depth': 4, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 9}",0.8569131832797428,0.8703108252947481,0.8060021436227224,0.8654876741693462,0.8837084673097535,0.8011789924973205,0.8027867095391211,0.837620578778135,0.8585209003215434,0.8472668810289389,0.8429796355841372,0.02850494355081253,1886
8,0.0189868688583374,0.0023247950652313,0.0026987314224243162,0.0007807706791289707,gini,4,auto,10,"{'classify__criterion': 'gini', 'classify__max_depth': 4, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 10}",0.8885316184351554,0.8381564844587353,0.8510182207931404,0.8435155412647374,0.8429796355841372,0.812433011789925,0.8837084673097535,0.8660235798499464,0.8762057877813505,0.852625937834941,0.855519828510182,0.022159813294577186,1797
9,0.021684813499450683,0.0035775788789622217,0.00240170955657959,0.0006625936817960014,gini,4,auto,11,"{'classify__criterion': 'gini', 'classify__max_depth': 4, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 11}",0.8531618435155413,0.8478027867095391,0.8531618435155413,0.8783494105037514,0.8579849946409432,0.8756698821007503,0.8692390139335477,0.8569131832797428,0.8772775991425509,0.8553054662379421,0.862486602357985,0.01087294385244248,1705
10,0.022614049911499023,0.0036726974041204788,0.002398514747619629,0.0006624506144821792,gini,4,auto,15,"{'classify__criterion': 'gini', 'classify__max_depth': 4, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 15}",0.879957127545552,0.8644158628081458,0.8504823151125402,0.8633440514469454,0.7883172561629154,0.8660235798499464,0.8558413719185424,0.8617363344051447,0.8086816720257235,0.8660235798499464,0.8504823151125402,0.02734694710004945,1843
11,0.01788966655731201,0.001043683761171649,0.0025983810424804687,0.0009160325350287511,gini,4,auto,20,"{'classify__criterion': 'gini', 'classify__max_depth': 4, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 20}",0.8542336548767417,0.8729903536977492,0.867631296891747,0.8719185423365488,0.8536977491961415,0.8344051446945338,0.7765273311897106,0.8622722400857449,0.8772775991425509,0.8338692390139335,0.8504823151125402,0.028540185197796202,1843
