,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,0.05875265598297119,0.04024946689605713,0.02074897289276123,0.001248478889465332,5,minkowski,2,uniform,"{'leaf_size': 5, 'metric': 'minkowski', 'n_neighbors': 2, 'weights': 'uniform'}",0.44635193133047213,0.41630901287553645,0.4313304721030043,0.015021459227467837,28
1,0.01600027084350586,0.0054972171783447266,0.013248085975646973,0.0007530450820922852,5,minkowski,2,distance,"{'leaf_size': 5, 'metric': 'minkowski', 'n_neighbors': 2, 'weights': 'distance'}",0.4892703862660944,0.47639484978540775,0.48283261802575106,0.006437768240343339,1
2,0.015495538711547852,0.002497434616088867,0.031501054763793945,0.009999752044677734,5,minkowski,3,uniform,"{'leaf_size': 5, 'metric': 'minkowski', 'n_neighbors': 3, 'weights': 'uniform'}",0.3948497854077253,0.3605150214592275,0.3776824034334764,0.017167381974248913,67
3,0.02900540828704834,0.01450502872467041,0.01324462890625,0.00025534629821777344,5,minkowski,3,distance,"{'leaf_size': 5, 'metric': 'minkowski', 'n_neighbors': 3, 'weights': 'distance'}",0.4892703862660944,0.44635193133047213,0.4678111587982833,0.02145922746781115,10
4,0.017499446868896484,0.003000020980834961,0.01999962329864502,0.003500819206237793,5,minkowski,5,uniform,"{'leaf_size': 5, 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'uniform'}",0.36909871244635195,0.4034334763948498,0.38626609442060084,0.017167381974248913,58
5,0.012999534606933594,0.0004985332489013672,0.01600050926208496,0.0004990100860595703,5,minkowski,5,distance,"{'leaf_size': 5, 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'}",0.4291845493562232,0.45064377682403434,0.43991416309012876,0.010729613733905574,19
6,0.014251232147216797,0.003749370574951172,0.02174818515777588,0.0022481679916381836,5,minkowski,6,uniform,"{'leaf_size': 5, 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'uniform'}",0.36909871244635195,0.3776824034334764,0.37339055793991416,0.004291845493562235,73
7,0.013250589370727539,0.00025153160095214844,0.0162503719329834,0.0002510547637939453,5,minkowski,6,distance,"{'leaf_size': 5, 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'distance'}",0.39914163090128757,0.44206008583690987,0.4206008583690987,0.02145922746781115,34
8,0.01849532127380371,0.0010037422180175781,0.026749253273010254,0.007748007774353027,5,minkowski,7,uniform,"{'leaf_size': 5, 'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'uniform'}",0.36909871244635195,0.36909871244635195,0.36909871244635195,0.0,79
9,0.009249091148376465,0.00224912166595459,0.01800096035003662,0.0030018091201782227,5,minkowski,7,distance,"{'leaf_size': 5, 'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'}",0.3905579399141631,0.4334763948497854,0.41201716738197425,0.02145922746781115,43
10,0.013249039649963379,0.0052498579025268555,0.017249584197998047,0.0017514228820800781,5,euclidean,2,uniform,"{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}",0.44635193133047213,0.41630901287553645,0.4313304721030043,0.015021459227467837,28
11,0.012996435165405273,0.0010018348693847656,0.019251704216003418,0.0032497644424438477,5,euclidean,2,distance,"{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}",0.4892703862660944,0.47639484978540775,0.48283261802575106,0.006437768240343339,1
12,0.011749982833862305,0.004752397537231445,0.01925075054168701,0.002747654914855957,5,euclidean,3,uniform,"{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.3948497854077253,0.3605150214592275,0.3776824034334764,0.017167381974248913,67
13,0.022247791290283203,0.007250308990478516,0.022998929023742676,0.009499907493591309,5,euclidean,3,distance,"{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.4892703862660944,0.44635193133047213,0.4678111587982833,0.02145922746781115,10
14,0.0094984769821167,0.0009981393814086914,0.026499152183532715,0.010500311851501465,5,euclidean,5,uniform,"{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.36909871244635195,0.4034334763948498,0.38626609442060084,0.017167381974248913,58
15,0.025252819061279297,0.011245012283325195,0.01874542236328125,0.004755973815917969,5,euclidean,5,distance,"{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.4291845493562232,0.45064377682403434,0.43991416309012876,0.010729613733905574,19
16,0.015749335289001465,0.0032502412796020508,0.034248948097229004,0.015751004219055176,5,euclidean,6,uniform,"{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}",0.36909871244635195,0.3776824034334764,0.37339055793991416,0.004291845493562235,73
17,0.03249847888946533,0.015001654624938965,0.018999099731445312,0.003998994827270508,5,euclidean,6,distance,"{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}",0.39914163090128757,0.44206008583690987,0.4206008583690987,0.02145922746781115,34
18,0.011751413345336914,0.0017495155334472656,0.024498462677001953,0.00599980354309082,5,euclidean,7,uniform,"{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.36909871244635195,0.36909871244635195,0.36909871244635195,0.0,79
