"","posXY","posX","posY","00:0f:a3:39:e1:c0","00:14:bf:3b:c7:c6","00:14:bf:b1:97:81","00:14:bf:b1:97:8a","00:14:bf:b1:97:8d","00:14:bf:b1:97:90","angle"
"21-72","21-7",21,7,-53.7969696969697,-63.0121069406784,-54.1405676815847,-61.5497311827957,-47.5360261948477,-70.6572031348385,90
"21-82","21-8",21,8,-54.8878787878788,-62.2826302238067,-56.0254614797864,-62.6720387840671,-47.8879007590348,-73.2799579343555,90
"22-32","22-3",22,3,-60.9984848484848,-61.7622530897866,-48.5127412280702,-62.2999570342267,-53.7593179731807,-79.5634648219017,90
"22-42","22-4",22,4,-59.3878787878788,-63.9197017736016,-47.0065287465652,-64.7215509558553,-50.6391478129713,-80.4184281842819,90
"22-52","22-5",22,5,-57.1090909090909,-60.0967223671078,-50.8197370386971,-67.2131792835581,-49.6295588469502,-80.2363217615998,90
"22-62","22-6",22,6,-59.3636363636364,-61.1605649587632,-52.2631022649279,-65.3552694460165,-44.3136054421769,-76.2082856051928,90
"22-72","22-7",22,7,-55.2424242424242,-64.3922530685689,-54.0072463768116,-63.5754317367221,-46.3807211700829,-72.5915747258698,90
"22-82","22-8",22,8,-58.9727272727273,-64.9261473050981,-56.6298255543945,-66.760353410341,-46.6161495911496,-68.7094290239227,90
"23-32","23-3",23,3,-59.8,-60.8455603293949,-44.4334476756958,-66.4894553157448,-50.1110716003573,-77.6113608957795,90
"23-42","23-4",23,4,-57.2188768418126,-64.6098652981109,-49.1923793597707,-64.7274499379763,-52.7210707140633,-79.1399174726371,90
"23-52","23-5",23,5,-59.4448707256047,-62.369496816063,-52.0150778848591,-65.3717357910906,-52.9711597830622,-78.1390345458705,90
"23-62","23-6",23,6,-60.2045871559633,-65.8152554026341,-56.1407815593884,-66.6265288386577,-46.5532074861961,-75.3281186123233,90
"23-72","23-7",23,7,-58.6793716986378,-61.5926713947991,-54.7228191459826,-61.4415299694785,-46.3702329416615,-76.6971346872082,90
"23-82","23-8",23,8,-55.4181818181818,-61.1736842105263,-53.1552244537815,-62.8000798554197,-45.4150462962963,-70.9392287521798,90
"24-32","24-3",24,3,-55.6212121212121,-62.2656338899196,-47.5580270933266,-64.809095160159,-54.6565721733464,-77.8202400436443,90
"24-42","24-4",24,4,-59.2055879899917,-63.2268805821854,-52.8932112890923,-67.2858495444962,-51.4288659793814,-77.5326352203614,90
"24-52","24-5",24,5,-57.1242424242424,-59.6485622361394,-55.6485444499423,-66.6308260150185,-51.2423412322115,-75.2365079365079,90
"24-62","24-6",24,6,-59.7003058103976,-64.9159736830645,-50.3877523186034,-63.0064389084384,-48.2424995639281,-78.1280030806885,90
"24-72","24-7",24,7,-58.0183259712312,-61.6092235704081,-57.1807308711236,-65.2184987126164,-50.0433486233004,-70.6533531746032,90
"24-82","24-8",24,8,-57.7033083124826,-65.0939114574462,-53.1066339637199,-62.7267001114827,-44.6973480509563,-76.3823137156838,90
"25-32","25-3",25,3,-62.8140882509304,-64.4904997785027,-48.6932630722104,-65.6405538905539,-49.8260826484817,-78.195220765761,90
"25-42","25-4",25,4,-61.0004170141785,-61.8244539921232,-49.3925120772947,-69.0016484287318,-55.1551615445232,-79.2486275801493,90
"25-72","25-7",25,7,-56.7939393939394,-62.3089003195386,-53.6261982570806,-67.8285762580894,-51.5348154774612,-78.8083333333333,90
"25-82","25-8",25,8,-57.8828282828283,-62.3356045769747,-54.3595781783196,-64.9678492239468,-50.9127222329603,-76.7299922299922,90
"26-32","26-3",26,3,-58.376936026936,-61.7528105979234,-49.2773448002939,-67.5159306729458,-52.3227288078352,-79.8122174517625,90
"26-42","26-4",26,4,-58.3363636363636,-64.4262748855531,-51.0086167507122,-65.7109344754162,-51.6888538257753,-76.3085688505981,90
"26-52","26-5",26,5,-60.0787878787879,-62.387870688558,-52.8318310902581,-65.2997064436228,-48.4319749623396,-77.774591503268,90
"26-62","26-6",26,6,-57.9335001390047,-64.8911700280621,-53.0251071713701,-64.8412872588405,-52.9712280701754,-75.638884644767,90
"26-72","26-7",26,7,-58.0121212121212,-61.6549330315035,-53.7100557745719,-67.576472394919,-45.9360017297517,-74.82294110384,90
"26-82","26-8",26,8,-58.7374756741729,-62.8850208056741,-52.8932982869223,-67.2634525075315,-44.7966980874876,-77.2353254217444,90
"27-32","27-3",27,3,-60.7060606060606,-61.6956823318525,-46.0324604473541,-67.3025920569585,-47.9229494013189,-79.6544899021549,90
"27-72","27-7",27,7,-57.0484848484848,-64.0466237993325,-50.7042793526664,-68.3051238755051,-41.2381156760777,-75.5949819207378,90
"27-82","27-8",27,8,-55.1939393939394,-65.4834323750449,-50.8609617851387,-69.0311798478257,-45.2866369108,-73.6273916325523,90
"28-32","28-3",28,3,-58.8141228801779,-66.3743335611757,-42.711985734479,-64.1744852020565,-50.1748571624147,-81.0504335551523,90
"28-72","28-7",28,7,-62.069696969697,-64.2849348646341,-47.939786169887,-66.5396057711847,-41.5964092958388,-76.7835970176396,90
"28-82","28-8",28,8,-58.3848484848485,-66.4352161319073,-47.8354629890234,-66.9133269661963,-45.620736260454,-73.9138879544754,90
"29-32","29-3",29,3,-60.1909090909091,-67.0868378074921,-42.1975051383913,-66.3547293504861,-49.7400702611229,-76.8079710144928,90
"29-72","29-7",29,7,-56.1787878787879,-67.4857258199046,-50.8544668294668,-66.6496835484677,-41.7903195828456,-80.6614648792068,90
"29-82","29-8",29,8,-55.755574089519,-62.5136804516721,-51.6959605303731,-67.0400688726204,-44.2443102003694,-74.1538866285748,90
