"","posXY","posX","posY","00:0f:a3:39:e1:c0","00:14:bf:3b:c7:c6","00:14:bf:b1:97:81","00:14:bf:b1:97:8a","00:14:bf:b1:97:8d","00:14:bf:b1:97:90","angle"
"18-83","18-8",18,8,-55.1,-59.9864678916404,-57.6373401502712,-61.4627352845175,-48.4206903190319,-76.344601920124,135
"19-33","19-3",19,3,-58.3832638309703,-58.78800933183,-48.1137896023271,-61.9117853795689,-54.5653826460278,-75.6861997490863,135
"19-73","19-7",19,7,-52.3878787878788,-61.2087668005931,-58.0937741655488,-57.816124715643,-49.2476876805467,-73.9076165760117,135
"19-83","19-8",19,8,-55.7545454545455,-60.8601551415271,-54.8285186791676,-59.3725067661473,-47.8042929292929,-75.8102770392709,135
"2-03","2-0",2,0,-54.7885612885613,-64.1908604425372,-67.2164313600923,-32.5646635110921,-65.4733177835973,-59.5785849952517,135
"2-16","2-1",2,1,-52.7515151515152,-64.2935171699987,-64.046533085748,-37.1417795167795,-61.2019039738533,-53.9919060041459,135
"2-103","2-10",2,10,-51.9774228774229,-65.5674404829858,-66.3163195803081,-41.9122176923575,-64.3091737891738,-49.378354978355,135
"2-113","2-11",2,11,-54.7637475674173,-67.258631632394,-69.957025856553,-43.8128504382696,-68.4269924137368,-46.9105002605524,135
"2-123","2-12",2,12,-55.7939393939394,-70.5058533445741,-72.3103911564626,-46.4247319626451,-67.6141205285942,-45.0440192743764,135
"2-133","2-13",2,13,-54.9001668056714,-68.0813518050614,-75.1892136966711,-44.2748997034711,-68.8396439035384,-45.8392481203008,135
"2-23","2-2",2,2,-50.8272727272727,-63.6585828217419,-62.6399183189513,-40.6145787612451,-64.8420396782099,-50.5771967197499,135
"2-33","2-3",2,3,-57.3666666666667,-61.3545633917537,-57.4445140246704,-40.5275293095962,-60.3255045922015,-55.4305107449337,135
"2-43","2-4",2,4,-56.2045459693778,-61.5026535873735,-62.1280736318605,-40.5673618007282,-59.6266286715993,-53.5857049695611,135
"2-53","2-5",2,5,-52.3183764247984,-64.1238508457524,-66.4624375575925,-46.4896574440053,-60.8822505941122,-58.3714014856371,135
"2-63","2-6",2,6,-52.8848484848485,-65.2685394647125,-62.7753614433571,-43.5667892156863,-60.6620672869115,-48.9974756793681,135
"2-73","2-7",2,7,-50.9750750750751,-66.3934469997357,-63.2196475420217,-45.5523902707553,-51.9143603119727,-56.5452491071951,135
"2-83","2-8",2,8,-53.4787878787879,-65.5310185185185,-61.229575979576,-47.565395631937,-54.2701792105682,-48.8528754578755,135
"2-93","2-9",2,9,-54.7087850986934,-66.1708127778759,-68.7257590159761,-48.1791157446403,-61.481564933902,-48.0788797629763,135
"20-33","20-3",20,3,-57.5403947734223,-59.772794697075,-46.5478636914029,-65.8429689113819,-56.7181761158764,-76.7602366943353,135
"20-73","20-7",20,7,-57.429941618015,-59.9378244373861,-56.0304472350738,-63.5287497905145,-49.2363263681991,-76.2196898383576,135
"20-83","20-8",20,8,-55.6242424242424,-59.1711985551995,-51.575971214495,-68.6330952380952,-48.4266195708032,-78.1936672618325,135
"21-33","21-3",21,3,-60.8090909090909,-61.1822149481724,-48.7669344502644,-62.42482573866,-54.6623093681917,-77.9601480740307,135
"21-43","21-4",21,4,-59.198804559355,-63.9512389220474,-46.8814699792961,-66.0890826634855,-52.3283463566482,-78.8087719298246,135
"21-53","21-5",21,5,-59.5177370030581,-61.8488462051487,-49.5744572158365,-67.2630698413729,-49.2201434015025,-78.948214024301,135
"21-63","21-6",21,6,-57.7878787878788,-64.0603348921202,-53.7041389635938,-68.2574678387633,-45.4609776178111,-78.2036370295245,135
"21-73","21-7",21,7,-57.8969696969697,-64.3214503750218,-54.5307543087013,-62.5120024523675,-44.4851168485939,-74.2913420617271,135
"21-83","21-8",21,8,-55.8939393939394,-61.5641949345849,-56.4899698170157,-63.8774651406562,-49.2978420722019,-74.1487812546541,135
"22-33","22-3",22,3,-59.3890047261607,-61.5691699755943,-48.3079564295354,-61.7971191313888,-54.8240595922701,-79.8334283971328,135
"22-43","22-4",22,4,-59.9613844870726,-64.564996829423,-46.8862056173135,-64.4140556566269,-49.774155982906,-80.0834583307073,135
"22-53","22-5",22,5,-58.3393939393939,-61.359467465147,-50.469212832715,-67.1038291605302,-49.9420289855072,-79.3076667908396,135
"22-63","22-6",22,6,-60.2212121212121,-62.040401739402,-53.0695538778312,-66.4018859873699,-44.9555555555556,-78.5756470275744,135
"22-73","22-7",22,7,-56.5251979251979,-64.3838459120637,-54.2662835249042,-64.40297195511,-46.2755891886622,-75.2703397861107,135
"22-83","22-8",22,8,-60.1606060606061,-65.7069206670744,-56.5459175084175,-68.2001062091503,-49.0549131667553,-73.6381284606866,135
"23-33","23-3",23,3,-59.6515151515151,-61.6103431656063,-45.1252039480972,-67.5202767057895,-50.7973905723906,-78.7020808291961,135
"23-43","23-4",23,4,-58.0067556296914,-63.3231269468564,-51.0508618832148,-65.3050575155838,-53.7683825420202,-79.5343462515827,135
"23-53","23-5",23,5,-59.0206283013622,-62.1474645737572,-53.1003401403341,-66.8214433934298,-52.5969300911854,-80.3822529366751,135
"23-63","23-6",23,6,-59.8636363636364,-63.2580817241011,-56.8320538129707,-67.676916435557,-47.8047492684964,-78.0813949655996,135
"23-73","23-7",23,7,-59.9975535168196,-62.139898989899,-54.8708124570194,-62.3088417974355,-44.9123382048194,-78.7473487958402,135
"23-83","23-8",23,8,-55.8666666666667,-61.6368421052632,-53.7539299553996,-61.1963812886143,-44.0116792929293,-69.8434433115668,135
"24-33","24-3",24,3,-55.3424242424242,-63.4396071829405,-45.6711335486346,-65.1110019760845,-54.7542424242424,-76.7427366889132,135
"24-43","24-4",24,4,-59.1449819293856,-62.5288004985159,-51.5135816594627,-66.4037564422196,-52.9841773346928,-77.532932839409,135
"24-53","24-5",24,5,-58.4636363636364,-59.6066071818798,-55.1809931649579,-67.1412723587981,-54.401023652548,-77.1406277866952,135
"24-63","24-6",24,6,-60.7644981929386,-63.7716487129331,-50.2226526035037,-65.090069728013,-50.7064475544719,-78.876449377391,135
"24-73","24-7",24,7,-57.5035914702581,-63.5420722154841,-56.3816649430254,-68.1934006734007,-50.9450352370382,-72.9370784221279,135
"24-83","24-8",24,8,-58.3154295246038,-63.8906367610445,-54.9669613757714,-64.930033444816,-46.3460108329674,-76.9383534155144,135
"25-33","25-3",25,3,-62.750451887294,-65.3147422027451,-49.4180778870253,-64.8138718007139,-52.2862155388471,-77.989963895988,135
"25-43","25-4",25,4,-61.0216291353906,-60.687074829932,-49.156581341364,-66.3940060710894,-55.3494798168955,-77.5429292929293,135
"25-73","25-7",25,7,-58.6848484848485,-63.9052963247492,-55.4828474514118,-67.430583727744,-51.0622880049337,-80.2564814814815,135
"25-83","25-8",25,8,-58.1434343434343,-63.327051694195,-54.1647925717693,-64.6129460252936,-49.3719420911163,-79.0873495873496,135
"26-33","26-3",26,3,-59.7072390572391,-62.7777268210655,-47.4477757010619,-68.2079930400614,-53.6433637284701,-78.3100451671183,135
"26-43","26-4",26,4,-58.2393939393939,-65.1384971077753,-49.5539915695943,-64.16304833378,-52.7210021689835,-77.0954911481587,135
"26-53","26-5",26,5,-59.0636363636364,-62.0762887996565,-51.2505415731222,-66.3274700447252,-46.5361762703986,-78.3778235653236,135
"26-63","26-6",26,6,-57.2001668056714,-67.0026549258736,-54.795923983424,-66.3409820085352,-51.0245614035088,-77.1249109540249,135
"26-73","26-7",26,7,-56.6878787878788,-64.5181663837012,-52.7010952010952,-65.9168228075586,-46.0210648148148,-78.1204868913858,135
"26-83","26-8",26,8,-58.6374756741729,-65.0988902695436,-50.5176165041578,-65.2637866762867,-42.9053163211058,-77.1997577062862,135
"27-33","27-3",27,3,-59.3424242424242,-62.030274822695,-45.2381342062193,-66.3785096599548,-49.7984594618226,-79.400404179059,135
"27-73","27-7",27,7,-55.3151515151515,-64.7901089081526,-52.5315520799392,-65.4144947451852,-41.1471761068882,-75.1537538505624,135
"27-83","27-8",27,8,-58.2358632193495,-66.8748550310638,-50.8308564737834,-67.7867354033812,-45.2882902856298,-77.6556983544132,135
"28-33","28-3",28,3,-60.179524979525,-63.8210575139147,-42.4195208558073,-63.4296744572458,-50.153687807576,-80.2572893471144,135
"28-73","28-7",28,7,-61.3545454545455,-66.6402462199455,-49.2384545734186,-67.2034394161504,-42.112238790611,-78.18652742057,135
"28-83","28-8",28,8,-57.8272727272727,-67.512972865914,-49.5416405137967,-67.6290015219378,-44.0539765239133,-77.4981069560857,135
"29-33","29-3",29,3,-60.9242424242424,-66.2786528652865,-43.9789996181749,-65.6602849060416,-49.9164835164835,-75.3299008390542,135
"29-73","29-7",29,7,-56.1242424242424,-67.6230795664816,-52.1886520241171,-67.7196320952623,-42.6157180801422,-80.6363752734721,135
"29-83","29-8",29,8,-57.1525437864887,-62.0774367718102,-49.8670598211533,-67.3475122383162,-43.6808765107221,-76.0091066392512,135
"3-33","3-3",3,3,-49.2091187100361,-57.0862408867728,-57.4686853745106,-48.3938012159662,-59.6232212996413,-57.8911824018276,135
"3-73","3-7",3,7,-49.6818181818182,-61.7861609290181,-60.0041008223658,-49.4440837652165,-50.3421455938697,-53.5646104508583,135
"3-83","3-8",3,8,-50.7393939393939,-65.5649887746662,-59.7454079495822,-49.389194173933,-57.0612729741019,-56.6241943241943,135
"30-33","30-3",30,3,-60.8411957411957,-66.0900978056941,-41.753823024055,-65.767778662358,-45.4657069143447,-80.3718396594791,135
"30-73","30-7",30,7,-58.0575757575758,-66.3538399435477,-46.5988813845504,-67.8288052160716,-41.2339095013514,-80.4111444111444,135
"30-83","30-8",30,8,-56.1151515151515,-65.1070828233374,-48.4162462528332,-68.4035947712418,-40.2083219676305,-79.4412698412698,135
"31-33","31-3",31,3,-62.5272727272727,-70.9507087045344,-40.9370095881724,-65.3195782711912,-43.5907035630313,-80.665011820331,135
"31-73","31-7",31,7,-59.8799833194329,-66.4568077513625,-43.3139288255272,-69.9905871806365,-40.0695333104002,-79.8988939740656,135
"31-83","31-8",31,8,-58.2363636363636,-67.8008061002179,-43.8591122798629,-69.8285024154589,-40.3218256847342,-80.6403774856758,135
"32-33","32-3",32,3,-61.4484848484849,-69.0274915452808,-40.4584359990132,-70.0482872347452,-43.3506378800164,-79.5579053803868,135
"32-43","32-4",32,4,-62.9840628507295,-69.5266346719623,-39.2380395823594,-69.6630158730159,-41.1163807921258,-79.488749637491,135
"32-53","32-5",32,5,-65.1434154630416,-69.3605962310782,-40.3904555761699,-68.950840482095,-41.3036644244135,-77.636239454342,135
"32-63","32-6",32,6,-62.0484848484848,-66.3653406921448,-50.2108747733748,-70.8321478075257,-44.7507693181173,-80.3284215734785,135
"32-73","32-7",32,7,-59.7742007228246,-64.7920776113192,-43.622417952418,-65.6031927412362,-38.1653809027376,-78.2484328276657,135
"32-83","32-8",32,8,-59.8151515151515,-70.2355660725226,-42.4999802340291,-68.5116748256935,-35.453837535014,-81.8920835782153,135
"33-33","33-3",33,3,-61.9030303030303,-68.4796215519934,-41.2097023881439,-68.3992453220686,-53.0911172161172,-80.6094019586401,135
"33-43","33-4",33,4,-58.604309146511,-71.4696743124697,-38.0886811780174,-66.202076949268,-46.9317027957477,-83.4258118195217,135
"33-73","33-7",33,7,-57.3939393939394,-69.4104240612741,-47.6300932744232,-70.2839646003329,-33.5190079829833,-75.60892439473,135
"33-83","33-8",33,8,-57.3551292743953,-71.8454381410602,-44.8188508267796,-68.2167056786872,-31.7576717671767,-78.0413711583924,135
"4-33","4-3",4,3,-48.0428182534566,-58.9446238702818,-54.2721681209486,-50.3596472788867,-58.9499630860096,-60.0853494623656,135
"4-73","4-7",4,7,-48.9393939393939,-60.3837828119381,-61.7497369023107,-51.6929348968184,-48.1668650793651,-56.181045751634,135
"4-83","4-8",4,8,-47.6787878787879,-61.0586462148962,-58.7480950535968,-49.6724012778113,-57.9776926776927,-55.1112150261086,135
"5-33","5-3",5,3,-46.1151515151515,-55.783813099708,-52.0608583932383,-52.8400076513284,-55.7974206349206,-64.6885343754156,135
"5-73","5-7",5,7,-45.7787878787879,-58.1759993552547,-61.8393817787254,-53.4620642678675,-49.3192937959358,-60.2553357393256,135
"5-83","5-8",5,8,-47.7060606060606,-60.8842267693199,-61.5098417760197,-56.9293091442184,-53.10382826203,-58.1993851559069,135
"6-33","6-3",6,3,-46.2926253687316,-56.0733500857098,-52.711396011396,-55.1594866773438,-54.7030123779189,-63.454748689485,135
"6-73","6-7",6,7,-44.1151515151515,-60.5789350222848,-62.7215729145962,-54.649472447842,-52.476391825229,-60.8943685332125,135
"6-83","6-8",6,8,-46.989102029469,-57.2006930440041,-60.4640368213023,-54.322728857083,-55.3732965296405,-64.2329944450267,135
"7-33","7-3",7,3,-44.5243536280234,-53.5434397163121,-54.9747181964573,-58.0775448461829,-56.4113539294262,-64.8790063067717,135
"7-73","7-7",7,7,-44.9037037037037,-59.1036963841312,-58.7999269005848,-55.6064859762675,-51.7407322654462,-62.8404245646422,135
"7-83","7-8",7,8,-49.8060606060606,-54.78523863422,-59.5530777887267,-56.2713487575259,-53.8774403363545,-64.4579303675048,135
"8-33","8-3",8,3,-50.5757575757576,-52.9626083082304,-52.8169399306367,-52.1017282452355,-56.8674992176755,-66.29588667875,135
"8-73","8-7",8,7,-45.2451765360022,-55.0705527259008,-57.5991006140284,-59.2407073906486,-51.3129321465428,-68.9181029496819,135
"8-83","8-8",8,8,-47.67784264665,-57.24047430233,-59.4533016475232,-59.6544343373088,-52.1215279204951,-63.5916971916972,135
"9-33","9-3",9,3,-50.8030303030303,-49.2491906967478,-51.7219202898551,-56.4477702191988,-55.6450216450216,-64.212288676236,135
"9-43","9-4",9,4,-49.3073206605674,-51.6740959765206,-52.7701743878619,-56.6269404186796,-58.6145099493264,-68.3243432583354,135
"9-73","9-7",9,7,-49.0090909090909,-50.5877238092895,-61.8955978310817,-58.7462326659358,-52.840324550002,-68.9793311990832,135
"9-83","9-8",9,8,-48.3393939393939,-51.3672429078014,-59.4308444535863,-60.2641120886282,-51.9269016163077,-65.8380051251725,135
"0-04","0-0",0,0,-53.7196567444355,-66.8960441379796,-63.2690954293364,-36.3766444203944,-65.2805675337321,-54.9728467470403,180
"0-17","0-1",0,1,-51.5606060606061,-64.2660960082316,-63.6339720459541,-39.0032288676673,-66.5378054419694,-58.0856935723007,180
"0-104","0-10",0,10,-54.6705587989992,-63.8635250917993,-69.8187340538565,-45.1254792145881,-66.7174005553752,-51.5449048064919,180
"0-114","0-11",0,11,-52.7854323046984,-65.9160598629189,-69.7399278791977,-48.2801036682616,-66.9620351963708,-55.2097603121516,180
"0-124","0-12",0,12,-55.9060606060606,-69.040576651617,-71.486449733532,-43.162045076607,-67.8729634587734,-52.5396797052154,180
"0-134","0-13",0,13,-55.5878787878788,-71.2554010213585,-72.0684773167965,-43.6060787865414,-68.9317871440043,-55.5080045638973,180
"0-24","0-2",0,2,-55.4111111111111,-61.5593672755773,-62.2931133428981,-42.9072220435814,-61.0145794237119,-54.9414297744207,180
"0-34","0-3",0,3,-55.0393939393939,-62.7830894332317,-54.2616793087161,-41.6545297227943,-60.8979370055643,-55.8576238576239,180
"0-44","0-4",0,4,-52.230303030303,-64.5290403767189,-59.5236415324218,-40.9405638862855,-61.4696570972887,-53.3301043243818,180
"0-74","0-7",0,7,-53.7181818181818,-65.4541254328273,-64.0028889683753,-44.5815710635298,-53.9039435741563,-58.5167671038639,180
"0-84","0-8",0,8,-51.2242424242424,-65.8049985476076,-61.7634651690637,-45.794258172322,-53.1837779620344,-56.3460792919318,180
"0-94","0-9",0,9,-50.2484848484848,-65.6544841991779,-65.9805814548875,-45.2553822034396,-60.2900067500446,-52.54281506417,180
"1-04","1-0",1,0,-52.0090909090909,-64.1242690058479,-66.6462415140137,-32.8065783889313,-65.411887231395,-57.09865237691,180
"1-17","1-1",1,1,-54.4484848484849,-64.0172226538047,-64.6965845861994,-36.8024163200634,-67.2819686535374,-56.891006362059,180
"1-104","1-10",1,10,-54.2424242424242,-68.3132716049383,-69.5308837503959,-45.6463202684886,-65.1261074197121,-51.1583582928121,180
"1-114","1-11",1,11,-53.3363636363636,-66.6268501529052,-68.2299638931779,-48.6617464546342,-63.9128787878788,-52.7029444712911,180
"1-124","1-12",1,12,-54.0060606060606,-69.4664837482674,-70.4605087837008,-46.8182738258927,-69.9270408484816,-53.9645275895127,180
"1-134","1-13",1,13,-56.7561857103141,-71.3596578881142,-74.252846967016,-42.7531512944984,-69.854062437004,-47.7569423609028,180
"1-24","1-2",1,2,-56.3424242424242,-61.9400111003275,-58.423335658374,-38.6367974124601,-62.7498742280952,-56.7638025646536,180
"1-34","1-3",1,3,-55.0666666666667,-63.4709077959078,-53.3350056105718,-38.9787291728286,-57.5147522757279,-58.9266264740192,180
"1-44","1-4",1,4,-49.7613095238095,-63.9974822224491,-58.5507716195092,-45.4556282890515,-59.395525122256,-59.4238389594423,180
"1-54","1-5",1,5,-49.0060606060606,-63.4341602839864,-62.9748106060606,-41.3251786874594,-60.7088639592479,-55.8351345181431,180
"1-64","1-6",1,6,-49.9606060606061,-64.6805520868021,-61.1910321076982,-48.241505016246,-59.6678774928775,-56.5404163723971,180
"1-74","1-7",1,7,-52.3152602143428,-63.8734204016475,-63.1373591390579,-48.2835619584508,-50.2477776273634,-53.7679681216641,180
"1-84","1-8",1,8,-52.7727272727273,-64.7759955176134,-63.7044179036516,-47.0129522806355,-50.654180350301,-54.613539390839,180
"1-94","1-9",1,9,-52.5242424242424,-65.1877929418252,-65.0425432165265,-49.6829666572345,-63.5608535015932,-49.5828390054664,180
"10-34","10-3",10,3,-48.0454545454545,-50.7843512138659,-50.482863655132,-58.7859856630824,-55.9823054361098,-69.543433567769,180
"10-44","10-4",10,4,-50.7787878787879,-49.2486005279147,-53.2294332541891,-55.5696684587814,-56.1984819734345,-71.8446241648489,180
"10-54","10-5",10,5,-50.2121212121212,-49.1656038665384,-52.9112513785225,-54.9956658134035,-56.7282006971523,-68.645180853368,180
"10-64","10-6",10,6,-43.869696969697,-51.7430244950712,-58.9126859730308,-59.4107801240154,-58.7930402930403,-63.5067883436695,180
"10-74","10-7",10,7,-47.3060606060606,-50.7604609771949,-60.8024279360486,-60.6750946845068,-50.6980623644758,-67.9147399337454,180
"10-84","10-8",10,8,-43.523205023205,-55.3791249864519,-60.0701563598081,-59.3400430721038,-49.8830434782609,-63.7826814274834,180
"11-34","11-3",11,3,-51.1939393939394,-47.5554756322819,-53.2823506574509,-57.9188066785321,-56.5366698518872,-68.6589015151515,180
"11-44","11-4",11,4,-50.9309146510981,-52.1809058325187,-52.5036028497379,-54.6013272441844,-59.500541665717,-69.8744073933729,180
"11-54","11-5",11,5,-48.3772588268001,-49.9366663127533,-60.7333030328654,-57.8483796296296,-56.78343892544,-62.9713931955211,180
"11-64","11-6",11,6,-44.3484848484848,-50.0562024540999,-60.2791005291005,-55.8854430581926,-56.5226643088712,-69.8998397497631,180
"11-74","11-7",11,7,-46.0636363636364,-50.196485313493,-57.6570610266579,-57.1625932424252,-49.1679127096383,-69.3136271011781,180
"11-84","11-8",11,8,-49.1212121212121,-50.3636709692619,-60.6088525835866,-60.3045552777507,-47.9173536081099,-70.375825623475,180
"12-34","12-3",12,3,-52.9206839032527,-45.8636006367691,-48.7907442142525,-60.5387146191255,-57.01498767239,-70.6065843621399,180
"12-44","12-4",12,4,-48.0909090909091,-49.7117578804007,-51.8124239350913,-57.9508871282456,-55.6435715000071,-68.9615528182158,180
"12-54","12-5",12,5,-50.0379482902419,-53.4382361710337,-58.9910000719994,-57.6422305764411,-58.8750939154112,-67.1799956082565,180
"12-64","12-6",12,6,-51.9090909090909,-51.0123553694982,-61.6304756807603,-56.7535286811201,-57.9805384556924,-69.322090363959,180
"12-74","12-7",12,7,-51.4636363636364,-50.8963579337094,-56.2439456678587,-55.2696289059686,-46.5961021505376,-68.3939414967439,180
"12-84","12-8",12,8,-50.6757575757576,-51.3500445632799,-58.1972963919992,-58.5251885369532,-50.4417091801687,-69.6687161668186,180
"13-34","13-3",13,3,-51.0282617201577,-49.0710241734753,-52.0176720515855,-56.0209294382524,-56.6438678635176,-69.434365881275,180
"13-44","13-4",13,4,-49.5207117041979,-45.1218940034634,-53.8377948916438,-54.2246997780096,-58.8996171190135,-69.756443107546,180
"13-54","13-5",13,5,-49.9393939393939,-47.7372323057716,-58.1527781286402,-53.96698393557,-58.7995648852426,-71.5656101987517,180
"13-64","13-6",13,6,-47.028938028938,-51.4092522384448,-58.8730960517907,-53.6585103055691,-60.1856951365213,-66.8494402883938,180
"13-74","13-7",13,7,-47.8188212399222,-49.2675254569991,-56.8265512265512,-57.1178526623751,-48.3599187558507,-68.1628643936019,180
"13-84","13-8",13,8,-53.2729218793439,-53.3657615480649,-57.5406978985926,-60.7239869212385,-51.4547399605003,-70.6078952205753,180
"14-34","14-3",14,3,-54.2051478083588,-56.2824486698593,-48.4079294324944,-58.2024183482421,-57.9789145161656,-74.3903393643302,180
"14-74","14-7",14,7,-50.8636878468683,-55.2056277056277,-57.7471248630887,-56.1642611683849,-42.8168159761105,-68.5688869748301,180
"14-84","14-8",14,8,-49.8913539060328,-46.9402939759918,-57.1387265217052,-54.3998808161709,-50.1714527901313,-71.4680806745579,180
"15-34","15-3",15,3,-52.7757575757576,-56.1651358106806,-49.292695809952,-62.3449452003023,-55.9138872043663,-72.6226654432963,180
"15-74","15-7",15,7,-48.6975535168196,-53.3096774193548,-58.469319467376,-59.9800724637681,-47.9969683525584,-70.8863143483023,180
"15-84","15-8",15,8,-50.1393939393939,-55.7965043695381,-59.047526837182,-58.8659247757074,-48.6605927952576,-72.017217154515,180
"16-34","16-3",16,3,-55.5545454545455,-57.9935032483758,-50.7019222396378,-62.8538769929551,-56.5809267360992,-74.5524523266459,180
"16-74","16-7",16,7,-51.1678343063664,-51.6019558884727,-53.1570998208761,-60.4340129041307,-49.4133091464134,-73.7401654928894,180
"16-84","16-8",16,8,-52.7878787878788,-52.6362229244865,-59.803455510734,-57.8506944444444,-47.6604500151012,-74.3268208695175,180
"17-34","17-3",17,3,-51.5174589936058,-55.2569242254573,-54.4457708272053,-61.1864507542147,-55.0070820116903,-73.9078128883518,180
"17-74","17-7",17,7,-52.4393939393939,-58.4395290889819,-55.2654609470629,-61.1759649122807,-43.3988363021977,-73.6754379597367,180
"17-84","17-8",17,8,-53.0242424242424,-55.7497041517644,-51.3074600780483,-59.1478882651697,-51.3890418719388,-73.9978305980004,180
"18-34","18-3",18,3,-53.4909090909091,-53.7064610108088,-49.4347258908,-63.3142085984191,-57.8753118420893,-76.0605692850838,180
"18-74","18-7",18,7,-51.7147067000278,-64.008053187123,-59.3089095135783,-60.9194899691625,-45.4243776035969,-74.9792312661499,180
"18-84","18-8",18,8,-49.9090909090909,-59.9301190988664,-59.6441692384956,-58.5049504950495,-48.1203061582754,-76.9431802964802,180
"19-34","19-3",19,3,-55.4620517097581,-58.9137857293455,-49.4990109076534,-58.7451187129022,-55.444548359442,-77.0915343915344,180
"19-74","19-7",19,7,-51.4212121212121,-61.7155478463447,-59.1997734914672,-56.0504426940221,-49.124265963375,-72.90060063763,180
"19-84","19-8",19,8,-53.9078676675007,-59.6769680070242,-55.7284702295552,-59.5695438031844,-48.0635521885522,-75.0803192333638,180
"2-04","2-0",2,0,-55.4825006825007,-63.4063272971793,-64.9039045475655,-31.0375476927141,-66.2622234060872,-60.3935340022297,180
"2-17","2-1",2,1,-53.9424242424242,-63.8655618744692,-63.9867383512545,-36.9528295778296,-61.6575427587055,-56.7636491919025,180
"2-104","2-10",2,10,-48.9804531804532,-63.9295712455615,-65.7594568352101,-42.8497300710463,-65.8411884411884,-51.7512097395593,180
"2-114","2-11",2,11,-55.3731367731368,-67.1657509157509,-68.9420815809705,-44.4273598945344,-67.5235554251935,-48.4180843522949,180
"2-124","2-12",2,12,-55.6030303030303,-67.8336367944026,-71.0269444444444,-43.4807072373703,-67.7427932742882,-48.2011959038935,180
"2-134","2-13",2,13,-56.2728940783987,-66.0136011275546,-73.379107475965,-43.5542647828362,-68.1765073070427,-48.6737162054071,180
"2-24","2-2",2,2,-51.5272727272727,-63.8433914341821,-61.1025799793602,-39.2443764202597,-67.6390354547658,-52.0072937279834,180
"2-34","2-3",2,3,-55.4878787878788,-61.5238852871786,-57.3594901091171,-40.345896656535,-58.1251058681186,-55.4498775167758,180
"2-44","2-4",2,4,-53.8787322768974,-60.5636672325976,-61.6197722270074,-42.5700850063303,-58.873306412463,-55.7264385464649,180
"2-54","2-5",2,5,-52.8729218793439,-63.9233627804736,-64.1980230168954,-42.9301336344815,-61.491959967068,-60.0938353717868,180
"2-64","2-6",2,6,-50.6333333333333,-64.7488262030637,-62.3403114527893,-41.909418824164,-60.6102556447384,-53.3839607221031,180
"2-74","2-7",2,7,-48.6084084084084,-66.8705532268419,-63.6278872423963,-45.7864501679731,-50.9779472684944,-56.6023039131255,180
"2-84","2-8",2,8,-52.0878787878788,-65.2272244805781,-61.2306285668355,-50.2794197031039,-53.2347444698703,-52.1244610151753,180
"2-94","2-9",2,9,-53.0969696969697,-65.0737156807788,-67.5924664823164,-48.7724084072399,-61.9587608462644,-48.4782196969697,180
"20-34","20-3",20,3,-56.5787878787879,-57.7365994108798,-50.66756263481,-63.8253115303773,-56.7392287474554,-75.0533223496501,180
"20-74","20-7",20,7,-56.2056991937726,-61.6994754663834,-57.4416353775553,-66.92590698115,-48.4645009713737,-77.154937047289,180
"20-84","20-8",20,8,-54.6969696969697,-59.0130173879957,-52.9015526098438,-64.7563221884498,-44.1674754675083,-74.9041559601261,180
"21-34","21-3",21,3,-59.7826800111204,-61.4569402228977,-49.8437292265163,-61.1020444668221,-54.3958515823282,-76.6013753327418,180
"21-44","21-4",21,4,-58.5454545454545,-63.8578178694158,-47.4916303246553,-63.6467515882727,-55.8992683424638,-78.1124031007752,180
"21-54","21-5",21,5,-58.6419794273005,-62.7883812424646,-48.3196575181797,-67.2647061455073,-50.0190071245254,-79.5819136580006,180
"21-64","21-6",21,6,-57.7757575757576,-65.1734385020593,-51.1415735967927,-67.4462759462759,-44.0429093049557,-77.9284961685824,180
"21-74","21-7",21,7,-56.7878787878788,-63.6312114887696,-54.4809096995691,-64.1938322179128,-44.8425856172777,-73.7161558720504,180
"21-84","21-8",21,8,-54.6,-62.1055222347357,-56.4615202046126,-63.6305206962118,-50.6645087388686,-74.1444117165767,180
"22-34","22-3",22,3,-58.4935501807061,-60.89037048645,-48.6280639564171,-62.0941928441928,-55.0853003229628,-76.5274743418117,180
"22-44","22-4",22,4,-59.5432026688907,-62.943944197844,-46.0077983713082,-63.0807223232936,-50.4465030253025,-78.9997833936343,180
"22-54","22-5",22,5,-58.1242424242424,-61.8674039730835,-49.7791464075943,-67.0793650793651,-48.7568438003221,-77.7286154074404,180
"22-64","22-6",22,6,-59.7632193494579,-63.8692699203377,-54.7854719235364,-68.3603686635945,-45.5838164251208,-77.7706361343282,180
"22-74","22-7",22,7,-56.047244074767,-65.4214088164491,-53.4057393072171,-64.467225602697,-45.4089225219956,-74.4246039013954,180
"22-84","22-8",22,8,-59.5363636363636,-65.9396154308037,-56.6198722621403,-67.1214855194952,-50.2904147341534,-76.0945238095238,180
"23-34","23-3",23,3,-57.569696969697,-60.5440345368917,-46.5318883609928,-66.5161198139921,-50.8605076987099,-78.8329141625294,180
"23-44","23-4",23,4,-58.1497636919655,-62.3398638382422,-52.9710373218113,-65.3982905982906,-54.2814646979595,-77.5273328552076,180
"23-54","23-5",23,5,-57.1024464831804,-63.3819175168899,-52.1877440433501,-65.7948050153063,-50.4702634245187,-80.8374500692916,180
"23-64","23-6",23,6,-58.230303030303,-64.0030251864359,-56.6771057454777,-64.050441855747,-46.9769100271327,-80.0233342523665,180
