,REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE
164,States,Arizona,2010,43,44,4.55
165,States,Arkansas,2010,43,15,6.67
166,States,California,2010,43,168,1.79
167,States,Colorado,2010,43,162,1.85
168,States,Connecticut,2010,43,77,2.6
169,States,Delaware,2010,43,95,0
170,States,District of Columbia,2010,43,15,0
171,States,Florida,2010,43,X,X
172,States,Georgia,2010,43,234,2.99
173,States,Hawaii,2010,43,133,12.03
174,States,Idaho,2010,43,X,X
175,States,Illinois,2010,43,49,0
176,States,Indiana,2010,43,96,0
177,States,Iowa,2010,43,47,2.13
178,States,Kansas,2010,43,11,0
179,States,Kentucky,2010,43,48,0
180,States,Louisiana,2010,43,102,4.9
181,States,Maine,2010,43,X,X
182,States,Maryland,2010,43,34,2.94
183,States,Massachusetts,2010,43,22,4.55
184,States,Michigan,2010,43,X,X
185,States,Minnesota,2010,43,95,5.26
186,States,Mississippi,2010,43,X,X
187,States,Missouri,2010,43,186,0
188,States,Montana,2010,43,X,X
189,States,Nebraska,2010,43,33,0
190,States,Nevada,2010,43,X,X
191,States,New Hampshire,2010,43,17,0
192,States,New Jersey,2010,43,X,X
193,States,New Mexico,2010,43,19,0
194,States,New York,2010,43,294,1.36
195,States,North Carolina,2010,43,10,0
196,States,North Dakota,2010,43,30,0
197,States,Ohio,2010,43,65,1.54
198,States,Oklahoma,2010,43,44,2.27
199,States,Oregon,2010,43,16,0
200,States,Pennsylvania,2010,43,159,1.26
201,States,Rhode Island,2010,43,X,X
202,States,South Carolina,2010,43,109,0
203,States,South Dakota,2010,43,28,0
204,States,Tennessee,2010,43,59,1.69
205,States,Texas,2010,43,390,2.56
206,States,Utah,2010,43,212,4.72
207,States,Vermont,2010,43,X,X
208,States,Virginia,2010,43,39,0
209,States,Washington,2010,43,170,3.53
210,States,West Virginia,2010,43,150,0
211,States,Wisconsin,2010,43,89,1.12
212,States,Wyoming,2010,43,35,0
213,States,Puerto Rico,2010,43,X,X
214,States,Virgin Islands,2010,43,0,0
215,States,New York City,2010,43,X,X
216,States,Alabama,2010,44,69,15.94
217,States,Alaska,2010,44,32,0
218,States,Arizona,2010,44,67,1.49
219,States,Arkansas,2010,44,17,5.88
220,States,California,2010,44,229,3.06
221,States,Colorado,2010,44,163,1.23
222,States,Connecticut,2010,44,68,0
223,States,Delaware,2010,44,96,0
224,States,District of Columbia,2010,44,X,X
225,States,Florida,2010,44,X,X
226,States,Georgia,2010,44,353,7.93
227,States,Hawaii,2010,44,184,5.43
228,States,Idaho,2010,44,X,X
229,States,Illinois,2010,44,51,3.92
230,States,Indiana,2010,44,89,0
231,States,Iowa,2010,44,64,1.56
232,States,Kansas,2010,44,14,7.14
233,States,Kentucky,2010,44,49,4.08
234,States,Louisiana,2010,44,114,5.26
235,States,Maine,2010,44,11,0
236,States,Maryland,2010,44,32,3.13
237,States,Massachusetts,2010,44,21,4.76
238,States,Michigan,2010,44,X,X
239,States,Minnesota,2010,44,86,1.16
240,States,Mississippi,2010,44,X,X
241,States,Missouri,2010,44,178,0.56
242,States,Montana,2010,44,10,0
243,States,Nebraska,2010,44,17,0
244,States,Nevada,2010,44,X,X
245,States,New Hampshire,2010,44,19,5.26
246,States,New Jersey,2010,44,X,X
247,States,New Mexico,2010,44,22,0
248,States,New York,2010,44,360,2.5
249,States,North Carolina,2010,44,17,0
250,States,North Dakota,2010,44,27,3.7
251,States,Ohio,2010,44,54,1.85
252,States,Oklahoma,2010,44,39,0
253,States,Oregon,2010,44,17,0
254,States,Pennsylvania,2010,44,161,4.35
255,States,Rhode Island,2010,44,X,X
256,States,South Carolina,2010,44,73,0
257,States,South Dakota,2010,44,21,0
258,States,Tennessee,2010,44,70,0
259,States,Texas,2010,44,395,2.78
260,States,Utah,2010,44,270,8.89
261,States,Vermont,2010,44,X,X
262,States,Virginia,2010,44,56,0
263,States,Washington,2010,44,135,1.48
264,States,West Virginia,2010,44,129,0
265,States,Wisconsin,2010,44,117,1.71
266,States,Wyoming,2010,44,32,0
267,States,Puerto Rico,2010,44,X,X
268,States,Virgin Islands,2010,44,0,0
269,States,New York City,2010,44,X,X
270,States,Alabama,2010,45,107,12.15
271,States,Alaska,2010,45,45,4.44
272,States,Arizona,2010,45,82,3.66
273,States,Arkansas,2010,45,19,10.53
274,States,California,2010,45,213,3.29
275,States,Colorado,2010,45,212,2.36
276,States,Connecticut,2010,45,64,1.56
277,States,Delaware,2010,45,105,0.95
278,States,District of Columbia,2010,45,X,X
279,States,Florida,2010,45,X,X
280,States,Georgia,2010,45,426,15.73
281,States,Hawaii,2010,45,183,1.64
282,States,Idaho,2010,45,X,X
283,States,Illinois,2010,45,36,2.78
284,States,Indiana,2010,45,99,0
285,States,Iowa,2010,45,73,0
286,States,Kansas,2010,45,17,0
287,States,Kentucky,2010,45,45,8.89
288,States,Louisiana,2010,45,181,3.31
289,States,Maine,2010,45,X,X
290,States,Maryland,2010,45,30,0
291,States,Massachusetts,2010,45,14,0
292,States,Michigan,2010,45,X,X
293,States,Minnesota,2010,45,107,4.67
294,States,Mississippi,2010,45,15,20
295,States,Missouri,2010,45,190,0
296,States,Montana,2010,45,13,0
297,States,Nebraska,2010,45,21,0
298,States,Nevada,2010,45,X,X
299,States,New Hampshire,2010,45,19,0
300,States,New Jersey,2010,45,X,X
301,States,New Mexico,2010,45,20,0
302,States,New York,2010,45,407,3.44
303,States,North Carolina,2010,45,21,4.76
304,States,North Dakota,2010,45,79,0
305,States,Ohio,2010,45,68,4.41
306,States,Oklahoma,2010,45,46,0
307,States,Oregon,2010,45,32,0
308,States,Pennsylvania,2010,45,177,2.82
309,States,Rhode Island,2010,45,X,X
310,States,South Carolina,2010,45,117,3.42
311,States,South Dakota,2010,45,19,0
312,States,Tennessee,2010,45,86,0
313,States,Texas,2010,45,499,1.8
314,States,Utah,2010,45,270,8.15
315,States,Vermont,2010,45,X,X
316,States,Virginia,2010,45,60,0
317,States,Washington,2010,45,162,0.62
318,States,West Virginia,2010,45,171,1.75
319,States,Wisconsin,2010,45,109,0.92
320,States,Wyoming,2010,45,32,0
321,States,Puerto Rico,2010,45,X,X
322,States,Virgin Islands,2010,45,0,0
323,States,New York City,2010,45,X,X
324,States,Alabama,2010,46,97,17.53
325,States,Alaska,2010,46,32,0
326,States,Arizona,2010,46,69,1.45
327,States,Arkansas,2010,46,25,4
328,States,California,2010,46,275,4.73
329,States,Colorado,2010,46,154,1.95
330,States,Connecticut,2010,46,84,3.57
331,States,Delaware,2010,46,81,1.23
332,States,District of Columbia,2010,46,17,5.88
333,States,Florida,2010,46,X,X
334,States,Georgia,2010,46,628,18.95
335,States,Hawaii,2010,46,194,4.12
336,States,Idaho,2010,46,X,X
337,States,Illinois,2010,46,29,10.34
338,States,Indiana,2010,46,89,0
339,States,Iowa,2010,46,60,0
340,States,Kansas,2010,46,13,0
341,States,Kentucky,2010,46,45,8.89
342,States,Louisiana,2010,46,162,5.56
343,States,Maine,2010,46,X,X
344,States,Maryland,2010,46,42,14.29
345,States,Massachusetts,2010,46,16,6.25
346,States,Michigan,2010,46,X,X
347,States,Minnesota,2010,46,100,10
348,States,Mississippi,2010,46,13,30.77
349,States,Missouri,2010,46,191,0
350,States,Montana,2010,46,X,X
351,States,Nebraska,2010,46,33,6.06
352,States,Nevada,2010,46,18,16.67
353,States,New Hampshire,2010,46,17,0
354,States,New Jersey,2010,46,X,X
355,States,New Mexico,2010,46,18,5.56
356,States,New York,2010,46,421,6.18
357,States,North Carolina,2010,46,21,9.52
358,States,North Dakota,2010,46,37,0
359,States,Ohio,2010,46,58,10.34
360,States,Oklahoma,2010,46,68,5.88
361,States,Oregon,2010,46,16,0
362,States,Pennsylvania,2010,46,204,5.88
363,States,Rhode Island,2010,46,X,X
364,States,South Carolina,2010,46,118,1.69
365,States,South Dakota,2010,46,32,0
