pdq,Seasonal PDQ,AIC
"(1, 0, 0)","(2, 0, 1, 52)",2669.8654223051185
"(1, 0, 0)","(2, 1, 0, 52)",839.163964739728
"(1, 0, 0)","(2, 1, 1, 52)",830.4297420757512
"(1, 0, 0)","(3, 0, 0, 52)",823.0003879543607
"(1, 0, 0)","(3, 0, 1, 52)",1890.4496927473995
"(1, 0, 0)","(3, 1, 0, 52)",10.0
"(1, 0, 0)","(3, 1, 1, 52)",12.0
"(1, 0, 0)","(4, 0, 0, 52)",12.0
"(1, 0, 0)","(4, 0, 1, 52)",14.0
"(1, 0, 0)","(4, 1, 0, 52)",12.0
"(1, 0, 0)","(4, 1, 1, 52)",14.0
"(1, 0, 1)","(0, 0, 0, 52)",3476.394500190975
"(1, 0, 1)","(0, 0, 1, 52)",11612.86920487968
"(1, 0, 1)","(0, 1, 0, 52)",2668.9979674626948
"(1, 0, 1)","(0, 1, 1, 52)",1763.0649408270158
"(1, 0, 1)","(1, 0, 0, 52)",2631.767362260922
"(1, 0, 1)","(1, 0, 1, 52)",10803.117204820832
"(1, 0, 1)","(1, 1, 0, 52)",1784.8792961381876
"(1, 0, 1)","(1, 1, 1, 52)",1759.3736482190666
"(1, 0, 1)","(2, 0, 0, 52)",1768.9634838952397
"(1, 0, 1)","(2, 0, 1, 52)",2342.7303758334256
"(1, 0, 1)","(2, 1, 0, 52)",835.9405011348815
"(1, 0, 1)","(2, 1, 1, 52)",831.5938778803121
"(1, 0, 1)","(3, 0, 0, 52)",824.4641317973719
"(1, 0, 1)","(3, 0, 1, 52)",872.9091981794232
"(1, 0, 1)","(3, 1, 0, 52)",12.0
"(1, 0, 1)","(3, 1, 1, 52)",14.0
"(1, 0, 1)","(4, 0, 0, 52)",14.0
"(1, 0, 1)","(4, 0, 1, 52)",16.0
"(1, 0, 1)","(4, 1, 0, 52)",14.0
"(1, 0, 1)","(4, 1, 1, 52)",16.0
"(1, 1, 0)","(0, 0, 0, 52)",3425.102913694628
"(1, 1, 0)","(0, 0, 1, 52)",6551.772893953978
"(1, 1, 0)","(0, 1, 0, 52)",2652.8860679105164
"(1, 1, 0)","(0, 1, 1, 52)",1733.430046976198
"(1, 1, 0)","(1, 0, 0, 52)",2586.1838512878644
"(1, 1, 0)","(1, 0, 1, 52)",4116.949671574196
"(1, 1, 0)","(1, 1, 0, 52)",1746.7985241819722
"(1, 1, 0)","(1, 1, 1, 52)",1735.3952770140488
"(1, 1, 0)","(2, 0, 0, 52)",1728.5774585165202
"(1, 1, 0)","(2, 0, 1, 52)",2355.495328962418
"(1, 1, 0)","(2, 1, 0, 52)",819.6781113499726
"(1, 1, 0)","(2, 1, 1, 52)",820.6363089592728
"(1, 1, 0)","(3, 0, 0, 52)",819.2144378070709
"(1, 1, 0)","(3, 0, 1, 52)",1095.1000104224654
"(1, 1, 0)","(3, 1, 0, 52)",10.0
"(1, 1, 0)","(3, 1, 1, 52)",12.0
"(1, 1, 0)","(4, 0, 0, 52)",12.0
"(1, 1, 0)","(4, 0, 1, 52)",14.0
"(1, 1, 0)","(4, 1, 0, 52)",12.0
"(1, 1, 0)","(4, 1, 1, 52)",14.0
"(1, 1, 1)","(0, 0, 0, 52)",3411.4709522736666
"(1, 1, 1)","(0, 0, 1, 52)",12118.837636657028
"(1, 1, 1)","(0, 1, 0, 52)",2637.595578890994
"(1, 1, 1)","(0, 1, 1, 52)",1717.6780604471228
"(1, 1, 1)","(1, 0, 0, 52)",2589.344916820517
"(1, 1, 1)","(1, 0, 1, 52)",40388795.93434933
"(1, 1, 1)","(1, 1, 0, 52)",1748.7641207690024
"(1, 1, 1)","(1, 1, 1, 52)",1719.6713774426216
"(1, 1, 1)","(2, 0, 0, 52)",1730.1973129990665
"(1, 1, 1)","(2, 0, 1, 52)",2150.5853421945276
"(1, 1, 1)","(2, 1, 0, 52)",821.6471958943207
"(1, 1, 1)","(2, 1, 1, 52)",820.6554956574918
"(1, 1, 1)","(3, 0, 0, 52)",813.0717599148311
"(1, 1, 1)","(3, 0, 1, 52)",1784.4305167148223
"(1, 1, 1)","(3, 1, 0, 52)",12.0
"(1, 1, 1)","(3, 1, 1, 52)",14.0
"(1, 1, 1)","(4, 0, 0, 52)",14.0
"(1, 1, 1)","(4, 0, 1, 52)",16.0
"(1, 1, 1)","(4, 1, 0, 52)",14.0
"(1, 1, 1)","(4, 1, 1, 52)",16.0
"(2, 0, 0)","(0, 0, 0, 52)",3416.1629618618263
"(2, 0, 0)","(0, 0, 1, 52)",4416.777224619467
"(2, 0, 0)","(0, 1, 0, 52)",2638.2524790920224
"(2, 0, 0)","(0, 1, 1, 52)",1750.397686270729
"(2, 0, 0)","(1, 0, 0, 52)",2579.5464815207456
"(2, 0, 0)","(1, 0, 1, 52)",4477.556066416697
"(2, 0, 0)","(1, 1, 0, 52)",1737.267653197619
"(2, 0, 0)","(1, 1, 1, 52)",1735.6897300340609
"(2, 0, 0)","(2, 0, 0, 52)",1723.7886044160343
"(2, 0, 0)","(2, 0, 1, 52)",1811.6056486271868
"(2, 0, 0)","(2, 1, 0, 52)",817.8433259859495
"(2, 0, 0)","(2, 1, 1, 52)",813.9932551208494
"(2, 0, 0)","(3, 0, 0, 52)",809.0779979569329
"(2, 0, 0)","(3, 0, 1, 52)",1602.3958776613008
"(2, 0, 0)","(3, 1, 0, 52)",12.0
"(2, 0, 0)","(3, 1, 1, 52)",14.0
"(2, 0, 0)","(4, 0, 0, 52)",14.0
"(2, 0, 0)","(4, 0, 1, 52)",16.0
"(2, 0, 0)","(4, 1, 0, 52)",14.0
"(2, 0, 0)","(4, 1, 1, 52)",16.0
"(2, 0, 1)","(0, 0, 0, 52)",3417.3745083451195
"(2, 0, 1)","(0, 0, 1, 52)",20728216.648372073
"(2, 0, 1)","(0, 1, 0, 52)",2633.6017177845415
"(2, 0, 1)","(0, 1, 1, 52)",1730.6955034599644
"(2, 0, 1)","(1, 0, 0, 52)",2581.4694533396687
"(2, 0, 1)","(1, 0, 1, 52)",1285778.4677387753
"(2, 0, 1)","(1, 1, 0, 52)",1735.299098744898
"(2, 0, 1)","(1, 1, 1, 52)",1732.6951884199918
"(2, 0, 1)","(2, 0, 0, 52)",1726.7338318260577
"(2, 0, 1)","(2, 0, 1, 52)",1809.5979371033552
"(2, 0, 1)","(2, 1, 0, 52)",818.8731478843754
"(2, 0, 1)","(2, 1, 1, 52)",811.4042100330131
"(2, 0, 1)","(3, 0, 0, 52)",815.4092165363487
"(2, 0, 1)","(3, 0, 1, 52)",1245.1638930251797
"(2, 0, 1)","(3, 1, 0, 52)",14.0
"(2, 0, 1)","(3, 1, 1, 52)",16.0
"(2, 0, 1)","(4, 0, 0, 52)",16.0
"(2, 0, 1)","(4, 0, 1, 52)",18.0
"(2, 0, 1)","(4, 1, 0, 52)",16.0
"(2, 0, 1)","(4, 1, 1, 52)",18.0
"(2, 1, 0)","(0, 0, 0, 52)",3411.447046995266
"(2, 1, 0)","(0, 0, 1, 52)",6425.002488047568
"(2, 1, 0)","(0, 1, 0, 52)",2636.777561706036
"(2, 1, 0)","(0, 1, 1, 52)",1732.697791382056
"(2, 1, 0)","(1, 0, 0, 52)",2572.090414267467
"(2, 1, 0)","(1, 0, 1, 52)",4923.355681436067
"(2, 1, 0)","(1, 1, 0, 52)",1732.0062339709277
"(2, 1, 0)","(1, 1, 1, 52)",1718.7185832490725
"(2, 1, 0)","(2, 0, 0, 52)",1714.0280687486122
"(2, 1, 0)","(2, 0, 1, 52)",3411.8059124930405
"(2, 1, 0)","(2, 1, 0, 52)",806.3741827484984
"(2, 1, 0)","(2, 1, 1, 52)",807.2333363233998
"(2, 1, 0)","(3, 0, 0, 52)",805.9526911317171
"(2, 1, 0)","(3, 0, 1, 52)",1157.0370120307505
"(2, 1, 0)","(3, 1, 0, 52)",12.0
"(2, 1, 0)","(3, 1, 1, 52)",14.0
"(2, 1, 0)","(4, 0, 0, 52)",14.0
"(2, 1, 0)","(4, 0, 1, 52)",16.0
"(2, 1, 0)","(4, 1, 0, 52)",14.0
"(2, 1, 0)","(4, 1, 1, 52)",16.0
"(2, 1, 1)","(0, 0, 0, 52)",3412.9070007466044
"(2, 1, 1)","(0, 0, 1, 52)",14422.130397928118
"(2, 1, 1)","(0, 1, 0, 52)",2638.16008501352
"(2, 1, 1)","(0, 1, 1, 52)",1718.3672183044443
"(2, 1, 1)","(1, 0, 0, 52)",2574.574184766391
"(2, 1, 1)","(1, 0, 1, 52)",14310.278348044392
"(2, 1, 1)","(1, 1, 0, 52)",1734.450301623589
"(2, 1, 1)","(1, 1, 1, 52)",1720.3167836754044
"(2, 1, 1)","(2, 0, 0, 52)",1712.3977456060654
"(2, 1, 1)","(2, 0, 1, 52)",7727.366581329341
"(2, 1, 1)","(2, 1, 0, 52)",808.1908927419712
"(2, 1, 1)","(2, 1, 1, 52)",810.1018394363978
"(2, 1, 1)","(3, 0, 0, 52)",806.680126206546
"(2, 1, 1)","(3, 0, 1, 52)",nan
"(2, 1, 1)","(3, 1, 0, 52)",14.0
"(2, 1, 1)","(3, 1, 1, 52)",16.0
"(2, 1, 1)","(4, 0, 0, 52)",16.0
"(2, 1, 1)","(4, 0, 1, 52)",18.0
"(2, 1, 1)","(4, 1, 0, 52)",16.0
"(2, 1, 1)","(4, 1, 1, 52)",18.0
"(3, 0, 0)","(0, 0, 0, 52)",3401.588809380029
"(3, 0, 0)","(0, 0, 1, 52)",4632.806480033748
"(3, 0, 0)","(0, 1, 0, 52)",2615.236032282392
