,REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
93,States,Rhode Island,2010,41,X,X,X,X,X,X,X,X,X
94,States,South Carolina,2010,41,85,1.18,0,0,0,0,0,1,0
95,States,South Dakota,2010,41,31,0,0,0,0,0,0,0,0
96,States,Tennessee,2010,41,66,0,0,0,0,0,0,0,0
97,States,Texas,2010,41,426,2.82,0,0,7,0,0,5,0
98,States,Utah,2010,41,186,5.38,2,0,6,2,0,0,0
99,States,Vermont,2010,41,X,X,X,X,X,X,X,X,X
100,States,Virginia,2010,41,32,0,0,0,0,0,0,0,0
101,States,Washington,2010,41,145,0,0,0,0,0,0,0,0
102,States,West Virginia,2010,41,122,0,0,0,0,0,0,0,0
103,States,Wisconsin,2010,41,84,0,0,0,0,0,0,0,0
104,States,Wyoming,2010,41,28,0,0,0,0,0,0,0,0
105,States,Puerto Rico,2010,41,X,X,X,X,X,X,X,X,X
106,States,Virgin Islands,2010,41,0,0,0,0,0,0,0,0,0
107,States,New York City,2010,41,X,X,X,X,X,X,X,X,X
108,States,Alabama,2010,42,55,1.82,0,0,0,0,0,1,0
109,States,Alaska,2010,42,21,0,0,0,0,0,0,0,0
110,States,Arizona,2010,42,56,1.79,0,0,1,0,0,0,0
111,States,Arkansas,2010,42,14,0,0,0,0,0,0,0,0
112,States,California,2010,42,174,2.87,0,0,1,1,0,3,0
113,States,Colorado,2010,42,153,0.65,0,0,0,1,0,0,0
114,States,Connecticut,2010,42,71,1.41,0,0,1,0,0,0,0
115,States,Delaware,2010,42,87,1.15,0,0,1,0,0,0,0
116,States,District of Columbia,2010,42,24,0,0,0,0,0,0,0,0
117,States,Florida,2010,42,X,X,X,X,X,X,X,X,X
118,States,Georgia,2010,42,158,4.43,0,0,1,1,0,5,0
119,States,Hawaii,2010,42,214,7.94,5,0,7,2,0,3,0
120,States,Idaho,2010,42,X,X,X,X,X,X,X,X,X
121,States,Illinois,2010,42,37,2.7,1,0,0,0,0,0,0
122,States,Indiana,2010,42,87,0,0,0,0,0,0,0,0
123,States,Iowa,2010,42,42,0,0,0,0,0,0,0,0
124,States,Kansas,2010,42,10,10,0,0,1,0,0,0,0
125,States,Kentucky,2010,42,52,0,0,0,0,0,0,0,0
126,States,Louisiana,2010,42,96,2.08,0,0,0,0,0,2,0
127,States,Maine,2010,42,X,X,X,X,X,X,X,X,X
128,States,Maryland,2010,42,21,4.76,0,0,0,0,0,1,0
129,States,Massachusetts,2010,42,14,0,0,0,0,0,0,0,0
130,States,Michigan,2010,42,X,X,X,X,X,X,X,X,X
131,States,Minnesota,2010,42,61,0,0,0,0,0,0,0,0
132,States,Mississippi,2010,42,X,X,X,X,X,X,X,X,X
133,States,Missouri,2010,42,175,0.57,0,0,1,0,0,0,0
134,States,Montana,2010,42,X,X,X,X,X,X,X,X,X
135,States,Nebraska,2010,42,12,0,0,0,0,0,0,0,0
136,States,Nevada,2010,42,X,X,X,X,X,X,X,X,X
137,States,New Hampshire,2010,42,20,0,0,0,0,0,0,0,0
138,States,New Jersey,2010,42,X,X,X,X,X,X,X,X,X
139,States,New Mexico,2010,42,16,0,0,0,0,0,0,0,0
140,States,New York,2010,42,327,0.61,0,0,2,0,0,0,0
141,States,North Carolina,2010,42,17,0,0,0,0,0,0,0,0
142,States,North Dakota,2010,42,23,0,0,0,0,0,0,0,0
143,States,Ohio,2010,42,58,0,0,0,0,0,0,0,0
144,States,Oklahoma,2010,42,43,0,0,0,0,0,0,0,0
145,States,Oregon,2010,42,14,0,0,0,0,0,0,0,0
146,States,Pennsylvania,2010,42,145,0.69,0,0,1,0,0,0,0
147,States,Rhode Island,2010,42,X,X,X,X,X,X,X,X,X
148,States,South Carolina,2010,42,100,0,0,0,0,0,0,0,0
149,States,South Dakota,2010,42,34,0,0,0,0,0,0,0,0
150,States,Tennessee,2010,42,73,1.37,0,0,1,0,0,0,0
151,States,Texas,2010,42,390,3.08,1,0,4,1,0,6,0
152,States,Utah,2010,42,192,0.52,0,0,0,1,0,0,0
153,States,Vermont,2010,42,X,X,X,X,X,X,X,X,X
154,States,Virginia,2010,42,35,8.57,0,0,1,0,0,2,0
155,States,Washington,2010,42,161,0,0,0,0,0,0,0,0
156,States,West Virginia,2010,42,169,0,0,0,0,0,0,0,0
157,States,Wisconsin,2010,42,88,1.14,0,0,1,0,0,0,0
158,States,Wyoming,2010,42,33,3.03,0,0,0,1,0,0,0
159,States,Puerto Rico,2010,42,X,X,X,X,X,X,X,X,X
160,States,Virgin Islands,2010,42,0,0,0,0,0,0,0,0,0
161,States,New York City,2010,42,X,X,X,X,X,X,X,X,X
162,States,Alabama,2010,43,64,7.81,0,0,1,1,0,3,0
