,REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
655,States,Delaware,2015,52,136,2,0,1.47,1.47,0
656,States,District of Columbia,2015,52,X,X,X,X,X,X
657,States,Florida,2015,52,X,X,X,X,X,X
658,States,Georgia,2015,52,729,3,8,1.51,0.41,1.1
659,States,Hawaii,2015,52,98,3,0,3.06,3.06,0
660,States,Idaho,2015,52,X,X,X,X,X,X
661,States,Illinois,2015,52,400,4,2,1.5,1,0.5
662,States,Indiana,2015,52,118,0,0,0,0,0
663,States,Iowa,2015,52,104,0,0,0,0,0
664,States,Kansas,2015,52,123,2,0,1.63,1.63,0
665,States,Kentucky,2015,52,308,0,2,0.65,0,0.65
666,States,Louisiana,2015,52,686,2,1,0.44,0.29,0.15
667,States,Maine,2015,52,56,0,0,0,0,0
668,States,Maryland,2015,52,17,0,0,0,0,0
669,States,Massachusetts,2015,52,314,0,0,0,0,0
670,States,Michigan,2015,52,727,5,2,0.96,0.69,0.28
671,States,Minnesota,2015,52,318,2,0,0.63,0.63,0
672,States,Mississippi,2015,52,159,1,0,0.63,0.63,0
673,States,Missouri,2015,52,481,2,0,0.42,0.42,0
674,States,Montana,2015,52,96,0,0,0,0,0
675,States,Nebraska,2015,52,69,0,0,0,0,0
676,States,Nevada,2015,52,17,0,0,0,0,0
677,States,New Hampshire,2015,52,10,0,0,0,0,0
678,States,New Jersey,2015,52,X,X,X,X,X,X
679,States,New Mexico,2015,52,266,3,1,1.5,1.13,0.38
680,States,New York,2015,52,1569,14,13,1.72,0.89,0.83
681,States,North Carolina,2015,52,227,3,3,2.64,1.32,1.32
682,States,North Dakota,2015,52,15,0,0,0,0,0
683,States,Ohio,2015,52,879,1,1,0.23,0.11,0.11
684,States,Oklahoma,2015,52,182,2,5,3.85,1.1,2.75
685,States,Oregon,2015,52,263,8,5,4.94,3.04,1.9
686,States,Pennsylvania,2015,52,641,6,4,1.56,0.94,0.62
687,States,Rhode Island,2015,52,X,X,X,X,X,X
688,States,South Carolina,2015,52,293,0,1,0.34,0,0.34
689,States,South Dakota,2015,52,156,0,2,1.28,0,1.28
690,States,Tennessee,2015,52,328,0,9,2.74,0,2.74
691,States,Texas,2015,52,1630,13,9,1.35,0.8,0.55
692,States,Utah,2015,52,696,15,17,4.6,2.16,2.44
693,States,Vermont,2015,52,160,0,1,0.63,0,0.63
694,States,Virginia,2015,52,249,1,0,0.4,0.4,0
695,States,Washington,2015,52,401,5,7,2.99,1.25,1.75
696,States,West Virginia,2015,52,553,1,2,0.54,0.18,0.36
697,States,Wisconsin,2015,52,874,3,1,0.46,0.34,0.11
698,States,Wyoming,2015,52,32,0,0,0,0,0
699,States,Puerto Rico,2015,52,0,0,0,0,0,0
700,States,Virgin Islands,2015,52,X,X,X,X,X,X
701,States,New York City,2015,52,X,X,X,X,X,X
702,States,Alabama,2016,1,262,3,2,1.91,1.15,0.76
703,States,Alaska,2016,1,X,X,X,X,X,X
704,States,Arizona,2016,1,121,11,1,9.92,9.09,0.83
705,States,Arkansas,2016,1,54,0,0,0,0,0
706,States,California,2016,1,1431,85,35,8.39,5.94,2.45
707,States,Colorado,2016,1,551,15,0,2.72,2.72,0
708,States,Connecticut,2016,1,427,8,0,1.87,1.87,0
709,States,Delaware,2016,1,113,1,0,0.88,0.88,0
710,States,District of Columbia,2016,1,X,X,X,X,X,X
711,States,Florida,2016,1,X,X,X,X,X,X
712,States,Georgia,2016,1,610,3,4,1.15,0.49,0.66
713,States,Hawaii,2016,1,136,2,0,1.47,1.47,0
714,States,Idaho,2016,1,12,3,0,25,25,0
715,States,Illinois,2016,1,439,27,3,6.83,6.15,0.68
716,States,Indiana,2016,1,142,1,1,1.41,0.7,0.7
717,States,Iowa,2016,1,76,0,0,0,0,0
718,States,Kansas,2016,1,124,4,3,5.65,3.23,2.42
719,States,Kentucky,2016,1,324,0,1,0.31,0,0.31
720,States,Louisiana,2016,1,571,4,0,0.7,0.7,0
721,States,Maine,2016,1,65,0,0,0,0,0
722,States,Maryland,2016,1,17,0,0,0,0,0
723,States,Massachusetts,2016,1,444,1,3,0.9,0.23,0.68
724,States,Michigan,2016,1,710,11,1,1.69,1.55,0.14
725,States,Minnesota,2016,1,419,2,1,0.72,0.48,0.24
726,States,Mississippi,2016,1,139,2,0,1.44,1.44,0
727,States,Missouri,2016,1,507,3,0,0.59,0.59,0
728,States,Montana,2016,1,76,0,0,0,0,0
729,States,Nebraska,2016,1,60,0,0,0,0,0
730,States,Nevada,2016,1,26,1,0,3.85,3.85,0
731,States,New Hampshire,2016,1,17,2,0,11.76,11.76,0
732,States,New Jersey,2016,1,X,X,X,X,X,X
733,States,New Mexico,2016,1,336,2,4,1.79,0.6,1.19
734,States,New York,2016,1,2070,16,4,0.97,0.77,0.19
